,mental_health_score,physical_health_score,anxiety_level,net_monthly_income,hours_worked_weekly,age_years
mental_health_score,1.0,-0.1697253620630431,-0.249195458360609,-0.06039075333062703,-0.03067435139785475,-0.12345163937653504
physical_health_score,-0.1697253620630431,1.0,0.07596924482785178,0.08101030404376179,0.05591214934939485,-0.372861721079624
anxiety_level,-0.249195458360609,0.07596924482785178,1.0,0.036842685357499586,0.04943243501606984,0.13934124086470145
net_monthly_income,-0.06039075333062703,0.08101030404376179,0.036842685357499586,1.0,0.26716452697348253,0.04030294107263243
hours_worked_weekly,-0.03067435139785475,0.05591214934939485,0.04943243501606984,0.26716452697348253,1.0,-0.045819864188120465
age_years,-0.12345163937653504,-0.372861721079624,0.13934124086470145,0.04030294107263243,-0.045819864188120465,1.0
