,SS,DF,F,pval,partial_eta_sq
C(sex_harmonised),257.02153190238243,1.0,32.29606910583169,1.3803390829613157e-08,0.004872454212834896
C(age7),278.70487616592055,6.0,5.836782022478872,4.4290916513414085e-06,0.00528134261086105
C(income_quintile_harmonised),94.73876879464815,5.0,2.380882100691429,0.09254843827417296,0.0018015409672898323
pgsi_score,76.33920057122515,1.0,9.592410717046933,0.0019620378897387517,0.001452165092942158
pgsi_score:C(sex_harmonised),23.770910804638433,1.0,2.986936434363567,0.08398563146489102,0.0004526356034851467
pgsi_score:C(income_quintile_harmonised),141.65382891372437,5.0,3.5599055175197134,0.013639082999720805,0.002691271108740575
